totalThroughput,totalDownloadTime,timeStamp,cpuUsage,timeStamp,avgRotationAngle,video,user,energy
920214.0,7.25,2025-04-06 16:31:46,54.4,57,0.13666442302481302,8,1,443.0
1096645.0,71.61538461538461,2025-04-06 16:31:47,39.4,58,0.23056175105306848,8,1,443.0
1061981.0,299.3333333333333,2025-04-06 16:31:48,56.2,59,0.38102402629127163,8,1,443.0
358349.0,18.375,2025-04-06 16:28:44,32.3,0,0.4970356105843703,5,1,500.0
358349.0,18.375,2025-04-06 16:28:45,23.2,1,0.19050631384462374,5,1,500.0
656587.0,10.978260869565217,2025-04-06 16:28:46,50.9,2,0.1327905067669086,5,1,500.0
319221.0,3.0,2025-04-06 16:28:47,36.2,3,0.1691831337822926,5,1,500.0
319221.0,3.0,2025-04-06 16:28:48,34.9,4,0.3452726820192463,5,1,500.0
20984.0,4.0,2025-04-06 16:28:49,46.1,5,0.11039744600415603,5,1,500.0
20984.0,4.0,2025-04-06 16:28:50,34.6,6,0.16246440691733385,5,1,500.0
2168787.0,49.54545454545455,2025-04-06 16:28:51,46.1,7,0.10086844740100241,5,1,500.0
7214677.0,115.94736842105264,2025-04-06 16:28:52,36.2,8,0.09044754300610897,5,1,500.0
7214677.0,115.94736842105264,2025-04-06 16:28:53,42.3,9,0.09816346082966049,5,1,500.0
3850505.0,217.5,2025-04-06 16:28:54,32.1,10,0.10082455279059814,5,1,500.0
3850505.0,217.5,2025-04-06 16:28:55,50.6,11,0.036919384501123906,5,1,500.0
3850505.0,217.5,2025-04-06 16:28:56,36.5,12,0.02900218927401893,5,1,500.0
2697957.0,133.0,2025-04-06 16:28:57,38.3,13,0.030368184392520852,5,1,500.0
9497584.0,289.5769230769231,2025-04-06 16:28:58,49.5,14,0.024585034619110716,5,1,500.0
9320670.0,278.6,2025-04-06 16:28:59,35.4,15,0.02910656083815276,5,1,500.0
4325806.0,428.8333333333333,2025-04-06 16:29:00,36.1,16,0.06457689751550022,5,1,500.0
4325806.0,428.8333333333333,2025-04-06 16:29:01,34.7,17,0.031581517222174414,5,1,500.0
2959581.0,103.78947368421052,2025-04-06 16:29:02,62.3,18,0.011838339210524478,5,1,500.0
3957261.0,109.29166666666669,2025-04-06 16:29:03,34.1,19,0.014268903201384912,5,1,500.0
3583912.0,90.42857142857144,2025-04-06 16:29:04,51.4,20,0.01310655744506494,5,1,500.0
823992.0,55.66666666666666,2025-04-06 16:29:05,32.0,21,0.012901576884217015,5,1,500.0
293896.0,242.0,2025-04-06 16:29:06,33.9,22,0.024449319241310843,5,1,500.0
1487349.0,47.57142857142857,2025-04-06 16:29:07,37.3,23,0.12534754551407465,5,1,500.0
3349685.0,72.375,2025-04-06 16:29:08,40.3,24,0.45312988088939293,5,1,500.0
3055789.0,65.0,2025-04-06 16:29:09,35.9,25,0.17073269610362563,5,1,500.0
1077425.0,34.4,2025-04-06 16:29:10,35.5,26,0.1903164520994032,5,1,500.0
1077425.0,34.4,2025-04-06 16:29:11,33.2,27,0.28656341280764774,5,1,500.0
2364760.0,155.72727272727272,2025-04-06 16:29:12,38.3,28,0.3736338094766228,5,1,500.0
10181944.0,245.29032258064515,2025-04-06 16:29:13,35.0,29,0.04017910980329758,5,1,500.0
10516832.0,250.8,2025-04-06 16:29:14,31.6,30,0.035735654520051986,5,1,500.0
7547278.0,300.8666666666667,2025-04-06 16:29:15,33.0,31,0.09337528740189538,5,1,500.0
361988.0,,2025-04-06 16:29:16,34.2,32,0.13154233073226182,5,1,500.0
1157877.0,103.125,2025-04-06 16:29:17,41.6,33,0.04358597781749067,5,1,500.0
4714699.0,174.52380952380952,2025-04-06 16:29:18,30.8,34,0.021816777019351155,5,1,500.0
6516593.0,196.66666666666663,2025-04-06 16:29:19,29.7,35,0.21521784187770562,5,1,500.0
3748516.0,185.54545454545453,2025-04-06 16:29:20,33.0,36,0.09646552579900458,5,1,500.0
1234042.0,242.0,2025-04-06 16:29:21,32.3,37,0.22014740167527463,5,1,500.0
1511632.0,303.25,2025-04-06 16:29:22,36.8,38,0.5168815828879069,5,1,500.0
7188453.0,333.25,2025-04-06 16:29:23,34.3,39,0.19030088993361194,5,1,500.0
14177189.0,351.38709677419354,2025-04-06 16:29:24,30.6,40,0.26560923690789806,5,1,500.0
12570148.0,340.5925925925926,2025-04-06 16:29:25,30.3,41,0.4739793880508188,5,1,500.0
5893136.0,285.72727272727275,2025-04-06 16:29:26,37.1,42,0.08084172882093799,5,1,500.0
1598252.0,243.0,2025-04-06 16:29:27,35.2,43,0.04926867607978865,5,1,500.0
3638264.0,152.375,2025-04-06 16:29:28,32.2,44,0.08512152461841535,5,1,500.0
5053211.0,141.82608695652175,2025-04-06 16:29:29,30.3,45,0.03852363315256702,5,1,500.0
4504424.0,124.21739130434784,2025-04-06 16:29:30,57.3,46,0.05732505011227525,5,1,500.0
1586453.0,100.55555555555556,2025-04-06 16:29:31,34.7,47,0.03040219590746435,5,1,500.0
1586453.0,100.55555555555556,2025-04-06 16:29:31,34.7,48,0.06500069422363426,5,1,500.0
1140214.0,102.5,2025-04-06 16:29:31,34.7,47,0.03040219590746435,5,1,500.0
1140214.0,102.5,2025-04-06 16:29:31,34.7,48,0.06500069422363426,5,1,500.0
2480443.0,118.6923076923077,2025-04-06 16:29:33,31.0,49,0.06312145922395251,5,1,500.0
3776397.0,121.15,2025-04-06 16:29:34,30.9,50,0.03913152113643433,5,1,500.0
4017531.0,130.85714285714286,2025-04-06 16:29:35,30.8,51,0.024495844535393125,5,1,500.0
2100395.0,113.2,2025-04-06 16:29:36,37.1,52,0.02608590918683111,5,1,500.0
977627.0,131.4,2025-04-06 16:29:37,38.4,53,0.022399569284088202,5,1,500.0
828371.0,22.58333333333333,2025-04-06 16:29:38,40.6,54,0.02227765495508485,5,1,500.0
1972843.0,44.56521739130435,2025-04-06 16:29:39,39.7,55,0.04100873317408336,5,1,500.0
1930277.0,41.12,2025-04-06 16:29:40,57.6,56,0.09301704040313057,5,1,500.0
1098471.0,48.642857142857146,2025-04-06 16:29:41,37.9,57,0.12211846263858948,5,1,500.0
9589.0,2.0,2025-04-06 16:29:42,39.6,58,0.21842134613599848,5,1,500.0
9589.0,2.0,2025-04-06 16:29:43,35.4,59,0.1208171481370393,5,1,500.0
738379.0,5.75,2025-04-06 16:15:49,39.6,0,0.09177952988616701,4,1,462.0
738379.0,5.75,2025-04-06 16:15:50,38.4,1,0.020396394953805495,4,1,462.0
738379.0,5.75,2025-04-06 16:15:51,52.1,2,0.01837314581938031,4,1,462.0
6262875.0,163.07142857142858,2025-04-06 16:15:52,37.5,3,0.06574946186761128,4,1,462.0
10201976.0,203.2894736842105,2025-04-06 16:15:53,34.8,4,0.06945464208043645,4,1,462.0
