input_file,n,si,ti
video_4.mp4,517,29.375,8.147
video_4.mp4,518,29.385,8.605
video_4.mp4,519,29.162,6.841
video_4.mp4,520,29.127,9.214
video_4.mp4,521,28.994,9.484
video_4.mp4,522,29.117,11.211
video_4.mp4,523,29.332,16.169
video_4.mp4,524,29.175,12.49
video_4.mp4,525,29.599,12.721
video_4.mp4,526,30.037,11.758
video_4.mp4,527,30.472,11.045
video_4.mp4,528,30.542,10.207
video_4.mp4,529,30.436,7.438
video_4.mp4,530,30.55,9.738
video_4.mp4,531,30.614,9.751
video_4.mp4,532,30.553,10.341
video_4.mp4,533,30.93,12.576
video_4.mp4,534,31.178,11.84
video_4.mp4,535,32.265,25.16
video_4.mp4,536,33.628,20.339
video_4.mp4,537,33.46,20.436
video_4.mp4,538,31.316,19.078
video_4.mp4,539,30.908,10.837
video_4.mp4,540,30.603,12.049
video_4.mp4,541,30.66,10.719
video_4.mp4,542,30.97,9.34
video_4.mp4,543,30.955,7.627
video_4.mp4,544,31.109,9.383
video_4.mp4,545,31.111,9.639
video_4.mp4,546,31.237,10.054
video_4.mp4,547,30.842,10.588
video_4.mp4,548,30.916,8.643
video_4.mp4,549,31.123,13.348
video_4.mp4,550,31.979,18.477
video_4.mp4,551,32.778,22.32
video_4.mp4,552,33.021,24.678
video_4.mp4,553,33.375,23.0
video_4.mp4,554,32.914,23.28
video_4.mp4,555,33.056,21.87
video_4.mp4,556,33.361,18.078
video_4.mp4,557,33.512,16.123
video_4.mp4,558,33.627,21.495
video_4.mp4,559,31.639,18.317
video_4.mp4,560,31.193,12.363
video_4.mp4,561,30.973,11.755
video_4.mp4,562,30.877,10.672
video_4.mp4,563,30.897,8.275
video_4.mp4,564,30.899,9.623
video_4.mp4,565,31.071,8.973
video_4.mp4,566,31.116,8.744
video_4.mp4,567,31.009,8.859
video_4.mp4,568,31.066,7.192
video_4.mp4,569,30.852,9.295
video_4.mp4,570,31.06,9.849
video_4.mp4,571,31.253,12.167
video_4.mp4,572,32.193,17.842
video_4.mp4,573,34.969,22.66
video_4.mp4,574,35.517,21.63
video_4.mp4,575,35.12,16.773
video_4.mp4,576,34.938,16.965
video_4.mp4,577,32.512,16.753
video_4.mp4,578,32.23,9.853
video_4.mp4,579,31.989,10.814
video_4.mp4,580,31.762,9.705
video_4.mp4,581,31.743,10.122
video_4.mp4,582,31.343,10.688
